27721,Black,No Action Taken
27724,White,No Action Taken
27725,Black,No Action Taken
27727,Black,No Action Taken
27728,Black,No Action Taken
27729,Black,No Action Taken
27730,Hispanic,No Action Taken
27731,Black,No Action Taken
27732,Black,No Action Taken
27733,Black,Unknown
27734,Hispanic,No Action Taken
27740,Hispanic,Unknown
27744,Black,No Action Taken
27745,White,No Action Taken
27747,Black,No Action Taken
27748,Black,No Action Taken
27749,Black,No Action Taken
27751,Hispanic,Unknown
27754,Black,No Action Taken
27756,Black,No Action Taken
27757,Black,No Action Taken
27758,Black,No Action Taken
27759,Black,No Action Taken
27760,Black,No Action Taken
27762,Black,Unknown
27766,Black,No Action Taken
27767,Black,No Action Taken
27769,Black,No Action Taken
27779,White,Unknown
27780,Black,Unknown
27781,Black,Unknown
27782,Black,Unknown
51348,White,No Action Taken
51354,Hispanic,No Action Taken
51358,Black,No Action Taken
51363,Black,No Action Taken
51364,Black,Unknown
51365,Black,No Action Taken
51366,Black,No Action Taken
51371,Black,No Action Taken
51372,Hispanic,No Action Taken
51373,Black,No Action Taken
51380,Black,No Action Taken
51384,Black,No Action Taken
51385,Black,No Action Taken
51386,Black,No Action Taken
51389,Black,No Action Taken
51390,Black,Unknown
51391,Hispanic,No Action Taken
51392,Black,No Action Taken
51393,Black,No Action Taken
51394,Hispanic,No Action Taken
51395,Black,No Action Taken
51396,Hispanic,No Action Taken
51398,Black,No Action Taken
51400,Black,No Action Taken
51401,White,No Action Taken
51402,Black,No Action Taken
51403,Black,No Action Taken
51404,White,No Action Taken
51406,Black,No Action Taken
51407,White,No Action Taken
51408,Black,No Action Taken
51409,Black,No Action Taken
51412,Hispanic,No Action Taken
51413,Black,No Action Taken
51414,Black,No Action Taken
51416,Black,No Action Taken
51417,Black,No Action Taken
51418,Black,No Action Taken
51419,Black,No Action Taken
51420,Black,No Action Taken
51420,White,No Action Taken
51422,Black,No Action Taken
51423,Black,No Action Taken
51425,Black,No Action Taken
51427,Black,No Action Taken
51429,Hispanic,Unknown
51429,White,Unknown
51430,Hispanic,No Action Taken
51431,Black,No Action Taken
51432,Black,No Action Taken
51433,Black,No Action Taken
51434,Black,No Action Taken
51435,Black,No Action Taken
51436,Black,No Action Taken
51437,Black,No Action Taken
51438,Black,No Action Taken
51439,Black,No Action Taken
51441,White,No Action Taken
51442,White,No Action Taken
51443,Black,No Action Taken
51446,Black,No Action Taken
51448,Black,No Action Taken
51450,Hispanic,Unknown
51456,Black,No Action Taken
51457,Black,No Action Taken
51458,Black,No Action Taken
51459,Black,No Action Taken
51460,Black,No Action Taken
51465,Black,No Action Taken
51466,White,No Action Taken
51468,White,No Action Taken
51472,Hispanic,Unknown
51472,White,Unknown
51473,Black,No Action Taken
51477,Black,No Action Taken
51478,Black,No Action Taken
51481,Black,No Action Taken
51482,Black,No Action Taken
51483,White,2 Day Suspension
51486,Black,No Action Taken
51487,Black,No Action Taken
51488,Black,No Action Taken
51489,Black,No Action Taken
51493,White,No Action Taken
51494,Black,No Action Taken
51495,Black,No Action Taken
51496,Black,No Action Taken
51498,White,No Action Taken
51501,White,No Action Taken
51502,Black,Reinstated By Police Board
51503,Hispanic,No Action Taken
51504,Black,No Action Taken
51505,Black,No Action Taken
51509,Black,No Action Taken
51510,Hispanic,No Action Taken
51511,Black,No Action Taken
51513,Black,No Action Taken
51514,Black,No Action Taken
51515,Asian/Pacific Islander,No Action Taken
51516,Black,No Action Taken
51518,Black,No Action Taken
51519,Hispanic,No Action Taken
51520,Black,No Action Taken
51522,Black,No Action Taken
51523,Black,No Action Taken
51527,Black,No Action Taken
51529,Black,No Action Taken
51530,Black,No Action Taken
51533,Hispanic,No Action Taken
51534,Black,No Action Taken
51535,Black,No Action Taken
51536,White,No Action Taken
51538,Black,No Action Taken
51539,Black,No Action Taken
51541,Black,No Action Taken
51545,White,No Action Taken
51546,Black,No Action Taken
51547,Black,No Action Taken
51548,White,No Action Taken
51551,Black,No Action Taken
51552,Hispanic,No Action Taken
51553,Black,No Action Taken
51555,Hispanic,No Action Taken
51556,Black,Unknown
51559,White,Unknown
51560,Hispanic,Unknown
51561,Black,Unknown
51562,White,No Action Taken
51567,Black,Unknown
51570,Hispanic,Unknown
51571,White,No Action Taken
51572,Black,No Action Taken
51573,Black,Unknown
51574,Black,Unknown
56652,Hispanic,No Action Taken
56655,Black,No Action Taken
56656,White,No Action Taken
56657,Hispanic,10 Day Suspension
56657,Hispanic,3 Day Suspension
56657,Hispanic,5 Day Suspension
56657,Hispanic,No Action Taken
56658,Black,No Action Taken
56659,Black,No Action Taken
56660,Black,No Action Taken
56661,Black,No Action Taken
56664,Black,No Action Taken
56666,Black,No Action Taken
56667,Black,No Action Taken
56669,Hispanic,Unknown
56672,Hispanic,No Action Taken
56674,Black,No Action Taken
56675,Black,No Action Taken
56676,Black,No Action Taken
56678,Black,No Action Taken
56682,Black,No Action Taken
56683,Black,No Action Taken
56690,White,No Action Taken
56692,Black,No Action Taken
56698,Black,No Action Taken
56699,Black,No Action Taken
56701,Black,No Action Taken
56702,Black,No Action Taken
56703,White,No Action Taken
56706,Black,No Action Taken
56706,Black,Reprimand
56710,Black,No Action Taken
56713,Hispanic,No Action Taken
56717,White,No Action Taken
56719,Black,No Action Taken
56720,Black,No Action Taken
56722,Black,No Action Taken
56725,Black,Unknown
56726,Hispanic,No Action Taken
56728,Black,No Action Taken
56729,Black,No Action Taken
56732,Black,No Action Taken
56734,Black,No Action Taken
56735,Black,No Action Taken
56738,Black,No Action Taken
56739,Black,No Action Taken
56743,Black,No Action Taken
56744,White,No Action Taken
56748,Black,No Action Taken
56752,Black,No Action Taken
56754,Black,No Action Taken
56756,Black,No Action Taken
56757,Black,No Action Taken
